# src/stock_filter/universe/static/kospi100.csv
ticker,name
000100,유한양행
000120,CJ대한통운
000150,두산
000270,기아자동차
000490,대동공업
000660,SK하이닉스
000670,영풍
000720,현대건설
000810,삼성화재해상보험
000990,DB하이텍
001120,LG상사
001450,현대해상
001520,동양
001680,대상
001740,SK네트웍스
001800,오리온홀딩스
002270,롯데푸드
002350,넥센타이어
002380,KCC
003230,삼양식품
003240,태광산업
003300,한일시멘트
003410,쌍용양회
003550,LG
003670,포스코퓨처엠
003920,남양유업
004000,롯데정밀화학
004020,현대제철
004170,신세계
004370,농심
004490,세방전지
004800,효성
004990,롯데지주
005180,빙그레
005300,롯데칠성
005380,현대차
005440,현대그린푸드
005490,POSCO홀딩스
005610,SPC삼립
005690,파미셀
005830,DB손해보험
005930,삼성전자
005940,NH투자증권
006040,동원산업
006260,LS
006280,녹십자
006360,GS건설
006400,삼성SDI
006650,대한유화
006800,미래에셋증권
007070,GS리테일
007310,오뚜기
008560,메리츠증권
008930,한미사이언스
009150,삼성전기
009540,한국조선해양
009580,무림P&P
010120,LS ELECTRIC
010130,고려아연
010620,현대미포조선
010780,IS동서
010950,S-OIL
011070,LG이노텍
011170,롯데케미칼
011210,현대위아
011780,금호석유
011790,SKC
012330,현대모비스
012450,한화에어로스페이스
012510,더존비즈온
014830,유니드
015760,한국전력
016360,삼성증권
017670,SK텔레콤
017800,현대엘리베이터
018250,애경산업
018260,삼성SDS
018880,한온시스템
020000,한섬
020150,일진머티리얼즈
023530,롯데쇼핑
024110,기업은행
025540,한국단자
025860,남해화학
028260,삼성물산
028670,팬오션
029780,삼성카드
030200,KT
032640,LG유플러스
032830,삼성생명
033780,KT&G
033920,무학
034020,두산에너빌리티
034220,LG디스플레이
034730,SK
035000,G2R
035250,강원랜드
035420,NAVER
035720,카카오
036460,한국가스공사
036530,S&T홀딩스
036570,엔씨소프트
042670,두산인프라코어
047040,대우건설
047400,유니온머티리얼
047810,한국항공우주
049770,동원F&B
051600,한전KPS
051900,LG생활건강
051910,LG화학
052690,한전기술
055550,신한금융지주
057050,현대홈쇼핑
060980,한라홀딩스
064350,현대로템
064960,S&T모티브
066570,LG전자
068270,셀트리온
069260,휴켐스
069960,현대백화점
071050,한국투자금융지주
071840,롯데하이마트
073240,금호타이어
078930,GS
079550,LIG넥스원
086280,현대글로비스
086790,하나금융지주
088350,한화생명
090430,아모레퍼시픽
093050,LF
096770,SK이노베이션
103140,풍산
105560,KB금융
105630,한세실업
108670,LG하우시스
111770,영원무역
128940,한미약품
138930,BNK금융지주
139480,이마트
145720,덴티움
145990,삼양사
161390,한국타이어엔테크놀로지
180640,한진칼
192400,쿠쿠홀딩스
204320,HL만도
251270,넷마블
267250,HD한국조선해양
267270,현대건설기계
271560,오리온
285130,SK케미칼
294870,HDC현대산업개발
298040,효성중공업
316140,우리금융지주
353200,대덕전자
373220,LG에너지솔루션
207940,삼성바이오로직스
402340,SK스퀘어
042660,한화오션
267260,HD현대일렉트릭
010140,삼성중공업
011200,HMM
138040,메리츠금융지주
272210,한화시스템
042700,한미반도체
352820,하이브
307950,현대오토에버
259960,크래프톤
323410,카카오뱅크
047050,포스코인터내셔널
278470,에이피알
326030,SK바이오팜
039490,키움증권
377300,카카오페이
000880,한화
003490,대한항공
007660,이수페타시스
443060,HD현대마린솔루션
454910,두산로보틱스
064400,LG씨엔에스
022100,포스코DX
241560,두산밥캣
001040,CJ
028050,삼성E&A
009830,한화솔루션
001440,대한전선
066970,엘앤에프
175330,JB금융지주
082740,한화엔진
062040,산일전기
450080,에코프로머티
302440,SK바이오사이언스
097950,CJ제일제당
071970,HD현대마린엔진
014680,한솔케미칼
457190,이수스페셜티케미컬
012750,에스원
001430,세아베스틸지주
009970,영원무역홀딩스
009420,한올바이오파마
005850,에스엘
026960,동서
383220,F&F
000240,한국앤컴퍼니
081660,미스토홀딩스
030000,제일기획
139130,iM금융지주
010060,OCI홀딩스
002790,아모레퍼시픽홀딩스
192820,코스맥스
282330,BGF리테일
069620,대웅제약
008770,호텔신라
017960,한국카본
375500,DL이앤씨
112610,씨에스윈드
034230,파라다이스
161890,한국콜마
298020,효성티앤씨
007340,DN오토모티브
003090,대웅
120110,코오롱인더
000080,하이트진로
071320,지역난방공사
185750,종근당
192080,더블유게임즈
009240,한샘
280360,롯데웰푸드
137310,에스디바이오센서
298050,HS효성첨단소재
093370,후성
000210,DL
114090,GKL
014820,동원시스템즈
005250,녹십자홀딩스
268280,미원에스씨
002840,미원상사
008730,율촌화학
005420,코스모화학
002030,아세아
003030,세아제강지주
